 planet number, system id,  a [AU],   M [Mearth],  R [Rearth],  ecc,   inc,  stellar [Fe/H]      
             73               4      1.5960         0.34081         0.69856         0.10367E-04     0.46832E-04    -0.30459    
             74               4     0.13519         0.17962         0.56256         0.20804E-04     0.30756E-06    -0.30459    
             75               4     0.71296E-01     0.18219         0.56419         0.24909E-05      0.0000        -0.30459    
             76               4      19.037         0.12375         0.84275         0.58378E-04     0.93029E-02    -0.30459    
             77               4     0.41373          1.0483         0.98292         0.74656E-05     0.29802E-07    -0.30459    
             78               4      2.6966          1.3746          1.9776         0.51088E-05     0.60234E-04    -0.30459    
             79               4     0.11568         0.27734         0.64575         0.11697E-04      0.0000        -0.30459    
             80               5     0.84452E-01     0.15253         0.53309         0.16835E-05     0.22404E-04    -0.83420E-01
             81               5      29.817         0.10132         0.95461         0.82254E-04     0.55460E-02    -0.83420E-01
             82               5     0.21584         0.25193         0.62607         0.29843E-03     0.15552E-03    -0.83420E-01
             83               5     0.92396E-01     0.14081         0.52050         0.18196E-05     0.15150E-04    -0.83420E-01
             84               5      1.7620         0.35168         0.70544         0.27464E-05     0.37116E-02    -0.83420E-01
             85               5     0.25321         0.16170         0.54460         0.12724E-05     0.19369E-03    -0.83420E-01
             86               5      19.106         0.10931          1.6068         0.62473E-04     0.12082E-03    -0.83420E-01
             87               5      8.0026         0.16812         0.79892         0.33154E-04     0.74276E-02    -0.83420E-01
             88               5      5.2973         0.27703         0.92290         0.27424E-04     0.48855E-02    -0.83420E-01
             89               5     0.13586         0.19293         0.57544         0.11249E-04     0.11736E-03    -0.83420E-01
             90               5     0.40195         0.25827         0.63687         0.13771E-01     0.49352E-03    -0.83420E-01
             91               5     0.35727         0.33445         0.68865         0.11799E-04     0.25942E-03    -0.83420E-01
             92               5      8.7174         0.15643         0.78996         0.29497E-04     0.79849E-02    -0.83420E-01
             93               5     0.72444         0.44070         0.75516         0.51277E-05     0.76553E-03    -0.83420E-01
             94               5      2.9263         0.71817          1.2408         0.37322E-05     0.53519E-02    -0.83420E-01
             95               5      5.9978         0.22597         0.85977         0.24677E-04     0.20453E-02    -0.83420E-01
             96               5     0.30288         0.31274         0.67279         0.15526E-05     0.16916E-04    -0.83420E-01
             97               5     0.84600         0.43177         0.75039         0.55889E-05     0.11609E-02    -0.83420E-01
             98               5      17.181         0.11561          1.8774         0.60137E-04     0.38713E-02    -0.83420E-01
             99               5     0.23796         0.19644         0.57881         0.26411E-05     0.32539E-03    -0.83420E-01
            100               6      7.0774         0.19216         0.81904         0.21787E-04     0.49366E-02     0.48424E-01
            101               6      35.924         0.10026         0.78061         0.69244E-04     0.10746E-02     0.48424E-01
            102               6      21.819         0.10422          1.2019         0.48963E-04     0.48441E-02     0.48424E-01
            103               6      1.5792         0.34043         0.69830         0.29584E-05     0.35870E-02     0.48424E-01
            104               6      8.1898         0.16437         0.78735         0.27492E-04     0.11975E-02     0.48424E-01
            105               6     0.10397         0.16126         0.54381         0.35126E-05     0.53251E-04     0.48424E-01
            106               6      10.689         0.13439         0.82824         0.26162E-04     0.18192E-02     0.48424E-01
            107               6      23.695         0.10250          1.0912         0.74576E-04     0.69971E-02     0.48424E-01
            108               6     0.79117         0.29957         0.66925         0.51476E-05     0.13219E-02     0.48424E-01
            109               6      1.4987         0.35933         0.71011         0.39321E-05     0.23891E-02     0.48424E-01
            110               6     0.93891E-01     0.16602         0.54841         0.35929E-05     0.27864E-04     0.48424E-01
            111               6      17.038         0.10403         0.81780         0.12376E-03     0.57973E-02     0.48424E-01
            112               6      25.230         0.10180          1.0244         0.59452E-04     0.60867E-02     0.48424E-01
            113               6     0.55336         0.45230         0.75986         0.19975E-05     0.35399E-03     0.48424E-01
            114               6      9.0915         0.14946         0.77270         0.32067E-04     0.55964E-02     0.48424E-01
            115               6     0.72436         0.47767         0.77439         0.20560E-05     0.29080E-03     0.48424E-01
            116               6      14.758         0.10829         0.77807         0.55562E-04     0.33100E-03     0.48424E-01
            117               6      11.499         0.12818         0.80860         0.33152E-04     0.46323E-02     0.48424E-01
            118               6     0.62808E-01     0.12757         0.53776         0.10183E-05     0.83520E-04     0.48424E-01
            119               6      2.6862         0.70580          1.2732         0.49757E-06     0.39933E-02     0.48424E-01
            120               7      2.7194         0.32366         0.83338         0.38114E-05     0.62819E-02    -0.10137    
            121               7      1.7388         0.20901         0.59870         0.41313E-05     0.30857E-03    -0.10137    
            122               7     0.42157         0.21377         0.60023         0.14002E-04     0.59940E-04    -0.10137    
            123               7      8.8128         0.11444         0.61312         0.42359E-04     0.15057E-02    -0.10137    
            124               7     0.26131         0.18072         0.56511         0.44967E-05     0.19060E-03    -0.10137    
            125               7      1.9071         0.19613         0.58671         0.10986E-04     0.20349E-02    -0.10137    
            126               7     0.70917E-01     0.11828         0.51145         0.42566E-06     0.23112E-03    -0.10137    
            127               7      1.3578         0.23607         0.62189         0.46195E-05     0.23714E-03    -0.10137    
            128               7      6.6071         0.12918         0.63500         0.37275E-04     0.81329E-02    -0.10137    
            129               7      5.8059         0.14037         0.65217         0.35757E-04     0.84735E-02    -0.10137    
            130               7     0.13158         0.14300         0.52316         0.57210E-06     0.25482E-03    -0.10137    
            131               7     0.18777         0.14218         0.52219         0.82024E-06     0.76867E-04    -0.10137    
            132               7      10.708         0.10891         0.71616         0.48907E-04     0.62238E-02    -0.10137    
            133               7      2.0340         0.18762         0.57848         0.16340E-04     0.28820E-02    -0.10137    
            134               7     0.49580         0.22423         0.60951         0.54588E-06     0.21672E-02    -0.10137    
            135               7      1.4735         0.22873         0.61596         0.28880E-05     0.50998E-03    -0.10137    
            136               7     0.15956         0.15128         0.53251         0.34012E-06     0.87998E-04    -0.10137    
            137               7      34.168         0.10011         0.74166         0.97795E-04     0.31630E-02    -0.10137    
            138               7     0.17920         0.14186         0.52167         0.44116E-06     0.16635E-02    -0.10137    
            139               7     0.59733E-01     0.11205         0.51590         0.24440E-06     0.47714E-03    -0.10137    
            140               8      20.959         0.12456         0.81743         0.72942E-04     0.53330E-02    -0.10708    
            141               8     0.60922E-01     0.16989         0.58454         0.32877E-05      0.0000        -0.10708    
            142               8      1.0845          2.1076          1.8522         0.14151E-04     0.75835E-06    -0.10708    
            143               8      25.034         0.11198         0.84960         0.74098E-04     0.27632E-02    -0.10708    
            144               8      4.0470          3.0599          2.3069         0.12563E-04     0.93574E-03    -0.10708    
            145               8      5.7578          1.1343          1.5463         0.29310E-04     0.21111E-02    -0.10708    
            146               8      27.689         0.10784         0.88550         0.76366E-04     0.53946E-02    -0.10708    
            147               8     0.21079         0.73265         0.87524         0.79566E-02     0.36500E-07    -0.10708    
            148               8     0.32983         0.30914         0.67185         0.71957E-04     0.11446E-06    -0.10708    
            149               8      1.8718          1.2200          1.4382         0.55904E-04     0.15458E-03    -0.10708    
            150               8     0.10486         0.37191         0.70805         0.14026E-01     0.25810E-07    -0.10708    
            151               8     0.18127         0.38706         0.71651         0.99014E-05     0.33320E-07    -0.10708    
            152               8     0.52006E-01     0.13291         0.54517         0.30380E-05      0.0000        -0.10708    
            153               8      8.3958         0.43250          1.1373         0.48138E-04     0.22043E-02    -0.10708    
            154               8     0.66052E-01     0.17446         0.55429         0.36365E-05     0.21073E-07    -0.10708    
            155               8     0.13278         0.61563         0.82763         0.27143E-04     0.33320E-07    -0.10708    
            156               8      19.708         0.13045         0.81260         0.71225E-04     0.66570E-02    -0.10708    
            157               8     0.82557E-01     0.26340         0.63489         0.14624E-01     0.21073E-07    -0.10708    
            158               8     0.29271         0.33779         0.68975         0.37960E-04     0.53727E-07    -0.10708    
            159               8      32.523         0.11352          1.2474         0.87966E-04     0.47769E-02    -0.10708    
            160               9      7.8991         0.15408         0.76881         0.38574E-04     0.10362E-03     0.24504E-01
            161               9     0.70156E-01     0.13061         0.52775         0.16586E-05     0.11792E-03     0.24504E-01
            162               9     0.10338         0.13268         0.51102         0.37324E-05     0.40159E-03     0.24504E-01
            163               9     0.76781E-01     0.13549         0.51029         0.14393E-05     0.20369E-03     0.24504E-01
            164               9      17.868         0.10206         0.84109         0.70454E-04     0.42438E-02     0.24504E-01
            165               9      1.7141         0.32010         0.68493         0.48760E-05     0.10152E-02     0.24504E-01
            166               9     0.37968         0.31598         0.67816         0.46130E-05     0.72270E-03     0.24504E-01
            167               9     0.25697         0.25549         0.63020         0.50424E-05     0.24051E-03     0.24504E-01
            168               9      32.520         0.10038         0.81384         0.90222E-04     0.65536E-02     0.24504E-01
            169               9     0.96838E-01     0.15599         0.53767         0.28459E-05     0.25972E-03     0.24504E-01
            170               9     0.61121         0.37769         0.71868         0.24384E-04     0.70598E-03     0.24504E-01
            171               9      3.9579         0.35574         0.87336         0.21727E-04     0.59848E-02     0.24504E-01
            172               9      1.3149         0.36899         0.71526         0.32795E-05     0.26312E-02     0.24504E-01
            173               9      21.142         0.10358          1.1890         0.74469E-04     0.53542E-02     0.24504E-01
            174               9      6.7387         0.15460         0.67206         0.37321E-04     0.82395E-02     0.24504E-01
            175               9      5.4964         0.19570         0.72432         0.30797E-04     0.92203E-02     0.24504E-01
            176               9      15.732         0.10420         0.80106         0.66964E-04     0.15413E-02     0.24504E-01
            177               9     0.42930         0.30293         0.67010         0.76171E-05     0.25809E-03     0.24504E-01
            178               9     0.17965         0.20727         0.58841         0.20054E-05     0.15238E-03     0.24504E-01
            179               9     0.15005         0.18918         0.57228         0.11149E-04     0.49044E-03     0.24504E-01
            180              10     0.66773E-01     0.19153         0.57667         0.16846E-05      0.0000        -0.15505    
            181              10      1.2348         0.71802          1.2601         0.33526E-04     0.25762E-04    -0.15505    
