Planet,Star,Period,Ecc,K,M2sini,References
HD192310 c,HD192310 ,525.8,0.32,2.27,24,Pepe2011
HD196050 b,HD196050 ,1378,0.22,49.7,903.7,Jones2002
HD196067 b,HD196067 ,4100,0.63,112,2257,Marmier2011
HD204313 c,HD204313 ,34.88,0.13,3.28,16.9,This paper & Segransan2011     [4]
HD204313 b,HD204313 ,2132,0.11,72.9,1479,Segransan2009
HD204941 b,HD204941 ,1733,0.37,5.94,85,Dumusque2011
HD208487 b,HD208487 ,130.08,0.23,19.7,162.8,Tinney2005
HD210277 b,HD210277 ,442.19,0.47,38.93,404.5,Marcy1999
HD213240 b,HD213240 ,882.7,0.42,96.59,1440.6,Santos2001
HD215152 b,HD215152 ,7.28,0.34,1.26,2.77,This paper & Queloz2011          [5]
HD215152 c,HD215152 ,10.86,0.38,1.26,3.09,This paper & Queloz2011          [5]
HD215456 b,HD215456 ,192,0.13,3.62,32.6,This paper & Benz2011
HD215456 c,HD215456 ,2268,0.17,3.77,76.8,This paper & Benz2011
HD216435 b,HD216435 ,1311,0.07,19.6,386.1,Jones2003
HD216437 b,HD216437 ,1353,0.31,39,689.1,Jones2002
HD216770 b,HD216770 ,118.45,0.37,30.89,205.6,Mayor2004
HD217107 b,HD217107 ,7.12,0.12,139.2,445.3,Fischer1999
HD217107 c,HD217107 ,4270,0.51,35.7,831.3,Vogt2005
HD218566 b,HD218566 ,225.7,0.3,8.3,67.7,Meschiari2011
HD220689 b,HD220689 ,2191,0.2,19,377,Marmier2011
HD222582 b,HD222582 ,572.38,0.72,276.29,2425.1,Vogt2000
